PREFIXO: ;3D-002
NOME DO POSTO: ;MONTE ALEGRE DO SUL
MUNICÍPIO: ;MONTE ALEGRE DO SUL
CURSO D'ÁGUA: ;CAMANDUCAIA,R/CAMAND.OU DA GUARDINHA,R/GUARDINHA,R DA
ÁREA (Km²): ;387,00
LATITUDE: ;22°41'44"
LONGITUDE: ;46°40'25"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  05/1944;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;3,440;3,365;3,365;3,292;3,292;3,292;3,219;3,219;3,146;3,146;---;---;---
  06/1944;3,146;3,146;3,146;3,074;3,146;3,146;3,146;3,074;3,074;3,003;3,003;3,003;2,933;2,933;2,933;2,863;2,933;2,933;3,074;3,219;3,146;3,003;2,863;2,794;2,794;2,725;2,794;2,863;2,863;2,794;---;2,725;2,986;3,219
  07/1944;2,725;2,725;2,658;2,658;2,658;2,933;3,440;3,365;3,146;2,863;2,863;2,794;2,725;2,725;2,658;2,658;2,591;2,591;2,524;2,524;2,524;2,524;2,393;2,393;2,393;2,393;2,393;2,393;2,393;2,393;2,393;2,393;2,658;3,440
  08/1944;2,329;2,329;2,329;2,329;2,329;2,329;2,265;2,265;2,202;2,202;2,202;2,202;2,140;2,140;2,078;2,078;2,078;2,078;2,078;2,078;2,078;2,078;2,017;2,017;1,957;1,957;2,017;1,957;1,957;1,957;1,957;1,957;2,129;2,329
  09/1944;1,957;2,458;2,658;2,524;2,265;2,140;2,078;2,078;2,017;2,017;1,957;1,957;1,957;1,898;1,839;1,839;1,839;1,839;1,839;1,839;1,839;1,781;1,781;1,781;1,781;1,724;1,724;1,839;1,839;1,839;---;1,724;1,964;2,658
  10/1944;1,724;1,667;1,612;1,612;1,612;1,557;1,557;1,557;1,502;1,502;1,502;1,612;1,612;2,591;2,140;2,202;2,794;2,725;2,794;2,329;2,078;2,017;1,839;1,724;1,667;2,933;4,057;4,464;5,233;3,590;3,667;1,502;2,306;5,233
  11/1944;3,365;2,524;2,591;2,933;3,899;5,145;6,522;8,768;10,446;8,447;6,619;4,799;4,547;4,715;6,427;7,010;5,956;4,299;3,744;3,292;3,515;3,219;3,978;7,209;7,309;6,911;7,715;7,715;6,331;4,715;---;2,524;5,489;10,446
  12/1944;4,715;4,057;3,978;4,464;5,590;6,911;6,331;5,864;4,299;4,057;3,978;3,978;3,365;3,074;2,933;3,440;3,074;3,590;3,821;3,074;2,658;2,524;2,591;3,074;4,057;4,547;3,590;3,146;3,219;3,590;2,933;2,524;3,888;6,911
  01/1945;2,591;2,794;3,074;3,292;3,365;3,667;3,590;3,365;3,219;2,794;2,524;2,393;2,524;2,794;2,524;2,658;4,218;3,978;5,590;6,237;5,500;6,049;5,233;4,464;3,515;3,074;2,933;3,440;5,145;6,237;9,204;2,393;3,935;9,204
  02/1945;26,743;32,224;30,574;21,346;13,750;11,268;10,331;11,268;10,446;8,985;7,613;6,813;7,818;7,209;6,331;5,772;5,410;5,321;5,233;5,500;9,315;7,922;7,613;6,331;5,590;4,799;4,547;4,715;---;---;---;4,547;10,385;32,224
  03/1945;4,799;4,547;4,971;4,715;4,547;4,299;4,547;4,464;4,715;6,427;6,911;5,772;4,715;4,138;4,715;5,145;4,218;3,821;3,667;4,799;8,130;6,911;6,331;4,547;4,715;5,864;5,058;4,381;3,978;3,821;3,744;3,667;4,949;8,130
  04/1945;3,667;3,744;3,899;4,138;5,500;4,971;4,138;3,744;3,590;3,440;3,365;3,292;3,365;3,292;3,219;3,219;3,074;3,074;3,003;4,299;4,464;4,218;3,590;3,292;3,146;3,074;3,003;3,074;3,219;3,440;---;3,003;3,618;5,500
  05/1945;3,590;3,440;3,219;3,003;3,003;2,933;2,933;2,933;2,863;2,863;2,933;2,863;2,863;2,863;2,863;2,863;2,933;3,146;3,074;2,933;2,933;2,863;2,863;2,863;2,794;2,794;2,725;3,590;5,321;4,547;3,744;2,725;3,134;5,321
  06/1945;3,219;3,074;2,933;2,863;2,863;3,003;3,219;3,219;3,003;2,863;2,863;2,863;2,794;2,794;2,725;2,725;2,725;2,725;2,658;4,381;13,879;15,875;15,875;23,245;25,506;22,361;16,923;12,485;9,761;7,922;---;2,658;7,445;25,506
  07/1945;6,716;6,143;5,680;5,321;5,864;6,427;6,331;5,956;5,410;4,885;4,547;4,547;4,464;4,218;4,218;3,978;3,978;3,978;3,899;3,821;3,821;3,744;3,744;3,667;3,667;3,590;3,590;3,515;3,515;3,440;3,365;3,365;4,517;6,716
  08/1945;3,365;3,292;3,292;3,292;3,219;3,146;3,146;3,074;3,074;3,003;3,003;3,003;2,933;2,933;2,933;3,074;3,074;3,003;3,003;2,933;2,933;3,003;3,003;2,933;2,933;2,863;2,863;2,794;2,725;2,725;2,725;2,725;3,010;3,365
  09/1945;2,863;2,794;2,794;2,794;2,725;2,725;2,725;2,658;2,658;2,658;2,591;2,591;2,591;2,591;2,591;2,794;4,057;3,978;3,515;3,003;2,591;2,458;2,393;2,329;2,329;2,329;2,265;2,265;2,202;2,329;---;2,202;2,706;4,057
  10/1945;2,329;2,329;2,329;2,329;2,458;2,794;2,863;2,725;3,365;2,933;2,658;2,524;2,393;2,329;2,265;2,202;2,265;2,393;2,329;2,265;2,202;2,140;2,078;2,017;1,898;1,839;1,839;2,265;2,458;2,725;2,933;1,839;2,402;3,365
  11/1945;10,331;7,715;6,331;4,885;3,667;3,667;4,218;4,057;7,010;10,562;8,877;6,522;7,309;11,992;11,031;8,877;7,715;5,680;6,049;5,058;4,715;6,049;6,143;5,956;5,233;4,630;4,971;5,680;5,145;4,218;---;3,667;6,476;11,992
  12/1945;3,978;3,590;3,440;3,219;3,365;7,410;11,031;9,315;8,026;6,813;6,237;6,143;6,237;7,613;11,268;13,493;15,196;15,196;13,238;9,761;7,922;7,209;6,427;5,864;5,410;5,500;10,331;10,331;17,188;13,879;11,268;3,219;8,577;17,188
  01/1946;14,139;16,265;12,734;13,621;14,929;17,055;19,227;21,924;19,785;16,004;13,238;14,008;13,493;12,859;14,929;14,139;12,734;11,628;16,265;23,097;26,899;23,393;17,859;19,645;17,994;18,402;28,956;31,891;31,560;28,956;25,048;11,628;18,796;31,891
  02/1946;20,631;18,402;17,188;16,923;15,465;14,269;16,004;18,676;15,465;16,134;12,734;16,134;18,676;13,365;12,734;16,396;15,875;13,621;12,361;12,237;12,734;12,859;11,992;11,870;11,870;11,508;10,562;9,987;---;---;---;9,987;14,524;20,631
  03/1946;9,537;9,649;11,149;13,365;12,985;18,402;28,795;21,490;16,790;14,532;15,465;17,590;19,505;16,396;15,465;13,365;12,361;11,628;10,913;10,678;10,446;10,331;10,216;10,101;10,678;10,446;9,761;9,537;9,095;8,768;8,447;8,447;13,158;28,795
  04/1946;12,115;19,366;19,227;16,527;14,532;12,859;11,268;10,446;10,331;10,913;10,446;9,874;9,537;9,315;9,095;8,661;8,447;8,341;8,130;8,130;7,922;7,715;7,511;7,511;7,309;7,309;7,209;7,010;6,813;6,619;---;6,619;10,016;19,366
  05/1946;6,522;6,331;6,619;6,427;6,331;6,237;6,143;6,237;6,331;6,237;6,237;6,237;6,331;6,237;6,237;6,143;6,049;6,049;5,956;5,864;7,818;7,715;6,619;6,143;6,049;5,864;5,864;5,772;5,680;5,590;5,410;5,410;6,235;7,818
  06/1946;5,321;9,315;10,331;9,649;7,818;6,331;6,049;5,772;5,772;5,772;5,500;5,321;5,233;5,145;5,233;5,410;5,233;5,058;5,058;4,971;4,971;4,885;4,885;4,799;4,715;4,715;4,715;4,630;4,630;4,630;---;4,630;5,729;10,331
  07/1946;4,630;4,547;4,547;4,464;4,464;4,381;4,381;4,299;4,299;4,218;4,218;4,630;5,772;8,130;6,237;14,400;13,750;11,031;8,341;6,911;5,956;5,410;5,145;5,321;5,145;4,971;4,885;4,630;4,464;4,381;4,299;4,218;5,879;14,400
  08/1946;4,299;4,218;4,218;4,138;4,138;4,057;4,057;3,978;3,899;3,899;3,899;4,799;4,464;4,057;3,899;3,821;3,821;3,744;3,667;3,590;3,515;3,440;3,440;3,365;3,365;3,365;3,292;3,292;3,292;3,292;3,219;3,219;3,792;4,799
  09/1946;3,292;3,219;3,219;3,146;3,146;3,074;3,074;3,074;3,074;3,074;3,074;3,074;3,074;3,074;3,003;3,003;3,003;3,003;2,933;2,863;2,863;2,863;2,794;2,863;2,794;2,863;3,003;2,933;3,590;3,821;---;2,794;3,063;3,821
  10/1946;3,440;3,146;3,003;2,933;2,933;2,863;2,794;2,794;2,863;2,725;2,725;2,658;2,794;3,074;2,933;3,744;4,547;4,885;4,547;4,971;4,715;4,138;4,299;5,410;6,237;5,680;4,138;3,590;3,219;3,146;3,074;2,658;3,678;6,237
  11/1946;3,821;6,049;5,500;5,233;4,138;3,590;3,590;3,821;6,237;5,772;4,630;3,667;3,292;3,074;3,292;3,978;3,590;3,074;3,003;2,863;2,863;2,794;2,725;2,658;2,658;4,381;4,057;3,590;3,365;4,715;---;2,658;3,867;6,237
  12/1946;4,218;3,440;3,003;2,863;2,933;2,933;3,219;3,590;4,630;4,799;5,500;4,547;4,138;3,590;2,933;3,590;13,879;10,216;7,109;5,233;4,138;7,109;8,341;9,204;9,537;9,095;10,101;13,493;11,031;9,204;7,715;2,863;6,301;13,879
  01/1947;14,812;20,508;22,678;29,830;32,310;27,932;23,954;17,750;14,932;12,365;11,131;10,365;13,399;13,052;17,750;17,251;15,897;15,897;15,052;17,126;18,274;15,533;13,167;12,478;17,126;22,836;21,274;22,836;23,793;27,423;23,473;10,365;18,781;32,310
  02/1947;18,566;15,413;13,749;13,052;12,592;12,822;13,283;13,052;12,251;11,353;14,219;13,515;12,592;11,131;12,707;17,002;24,115;28,103;41,351;36,540;28,617;22,207;18,566;18,420;19,305;21,429;35,047;42,937;---;---;---;11,131;19,783;42,937
  03/1947;50,337;44,140;33,395;28,617;24,764;22,995;23,154;21,429;19,156;18,128;17,625;17,625;21,583;24,277;21,739;19,603;18,420;21,739;23,154;24,601;22,364;19,305;18,128;16,879;16,386;17,126;16,755;16,263;15,533;14,574;13,515;13,515;22,042;50,337
  04/1947;13,399;13,283;13,052;12,822;12,707;12,478;12,478;12,707;13,283;13,167;12,822;12,251;11,800;11,353;11,242;11,131;11,021;10,911;10,911;12,365;12,138;11,353;10,801;10,474;10,257;10,041;9,934;9,934;9,827;9,614;---;9,614;11,652;13,399
  05/1947;9,402;9,192;8,982;9,508;9,720;9,402;9,297;9,087;8,878;8,465;8,260;8,465;8,982;8,982;8,774;8,671;8,465;8,260;8,159;10,149;10,257;9,402;8,465;8,363;8,260;8,057;8,057;7,956;7,855;7,755;7,655;7,655;8,748;10,257
  06/1947;7,555;7,456;7,357;7,258;7,160;7,160;7,160;7,062;6,965;6,387;5,916;5,823;5,731;5,823;5,731;5,731;6,010;6,482;6,674;8,982;9,297;9,192;8,982;8,878;8,465;7,555;6,867;6,674;6,482;6,387;---;5,731;7,107;9,297
  07/1947;6,292;6,292;6,198;6,198;6,198;6,867;6,965;6,578;7,062;8,260;7,755;7,258;6,965;6,674;6,198;6,103;6,010;6,010;5,916;5,823;5,823;5,823;5,731;5,731;5,731;5,731;5,639;5,731;5,731;5,639;5,547;5,547;6,274;8,260
  08/1947;6,010;6,198;6,010;5,916;5,823;5,731;5,639;5,639;5,547;5,456;5,916;6,198;6,010;5,731;5,456;5,184;5,094;5,005;5,005;4,916;4,916;4,828;4,828;4,916;4,916;4,828;4,916;5,916;9,827;9,614;7,555;4,828;5,792;9,827
