PREFIXO: ;3D-009
NOME DO POSTO: ;BUENOPOLIS
MUNICÍPIO: ;MORUNGABA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.950,00
LATITUDE: ;22°51'02"
LONGITUDE: ;46°46'47"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  02/1930;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;49,775;49,261;52,386;56,705;57,813;53,449;48,749;45,739;47,232;53,985;67,669;75,742;88,382;---;---;---;---;---;---
  03/1930;92,581;89,075;77,671;65,278;57,813;54,524;49,775;46,732;48,749;48,241;45,739;43,306;41,878;40,941;40,476;40,013;38,192;38,192;36,854;36,414;36,414;35,541;35,541;34,679;34,252;37,297;40,476;40,476;37,297;35,541;33,828;33,828;46,251;92,581
  04/1930;33,828;32,988;32,571;32,988;34,252;33,828;35,109;39,097;40,941;40,013;38,192;36,414;35,541;34,252;32,158;35,541;35,976;33,828;32,988;32,158;31,339;30,934;29,735;28,948;28,559;28,559;28,173;28,173;27,789;27,408;---;27,408;33,076;40,941
  05/1930;27,408;26,654;26,654;26,281;25,911;25,911;25,544;24,817;24,817;24,457;24,457;24,457;24,457;24,457;24,457;25,911;27,408;30,532;36,414;31,747;27,030;26,281;25,911;25,911;25,179;24,817;24,457;24,100;23,746;23,746;25,544;23,746;26,112;36,414
  06/1930;26,281;25,911;26,654;26,654;27,789;27,030;25,911;24,457;23,046;22,700;22,700;22,357;22,016;21,678;21,678;22,357;22,700;22,357;21,678;21,343;21,010;21,010;23,046;19,387;20,353;20,028;20,028;19,706;19,706;19,706;---;19,387;22,709;27,789
  07/1930;19,387;19,070;19,070;19,070;18,756;19,070;21,010;18,756;19,706;20,353;20,353;20,353;20,353;25,911;29,340;28,559;28,173;24,457;22,357;21,010;19,706;19,706;19,387;19,070;18,756;18,445;18,445;18,445;17,831;17,831;17,227;17,227;20,644;29,340
  08/1930;17,227;17,227;16,929;18,445;19,706;16,633;17,227;17,227;16,929;16,633;16,633;14,367;15,764;16,051;16,341;16,341;16,633;18,137;19,706;19,706;19,706;19,706;19,070;19,070;18,445;17,527;17,227;15,764;16,051;17,227;17,831;14,367;17,467;19,706
  09/1930;17,831;19,070;23,046;28,173;30,532;26,281;22,357;19,706;18,445;18,445;18,445;18,445;17,831;16,929;16,051;15,764;15,479;15,197;15,479;16,051;16,051;16,929;15,764;15,479;15,479;15,479;16,929;19,387;22,357;19,706;---;15,197;18,771;30,532
  10/1930;17,227;15,764;14,918;14,918;14,918;14,641;14,641;14,641;19,070;24,817;27,408;24,817;21,010;18,756;19,070;19,387;21,010;28,173;30,532;34,679;45,247;48,749;39,554;40,013;40,013;33,406;28,559;28,948;27,789;25,179;24,457;14,641;25,558;48,749
  11/1930;21,678;20,028;19,070;18,756;18,445;18,445;23,746;28,173;27,789;26,654;26,654;24,457;21,678;20,353;20,353;22,357;24,457;24,100;21,678;19,706;17,831;20,028;37,743;35,541;32,988;27,030;23,395;22,357;21,010;19,706;---;17,831;23,540;37,743
